encoded_feature,importance
skills__TensorFlow,0.0002653905221818294
skills__Feature Stores,0.0002587177949063124
nominal__industry_Media,0.00025454465202893117
nominal__city_Bangalore,0.000251674433653461
nominal__job_title_NLP Engineer,0.00024886788322982354
nominal__country_Netherlands,0.00024560244289075856
nominal__industry_Consulting,0.0002431706020234173
nominal__city_Amsterdam,0.00024199745603454125
skills__Diffusion Models,0.00023440010039813748
skills__Search Systems,0.00023345439714300405
nominal__job_title_AI Engineer,0.00023332391788942987
nominal__job_category_Infrastructure,0.00023231736663082033
skills__Data Analysis,0.00023066410935896034
skills__Deep Learning,0.0002275164001596721
nominal__city_Tokyo,0.00022687439343451702
nominal__country_India,0.00021969850926108824
nominal__country_Japan,0.00021645515365216578
skills__AI Policy,0.00021309221469448472
nominal__job_title_AI Solutions Architect,0.00020952103295266832
nominal__job_title_Generative AI Engineer,0.00020581533288302272
skills__Docker,0.00020341678673524349
skills__EU AI Act,0.00019998042593004193
nominal__city_Beijing,0.00019835308584739022
skills__APIs,0.00019818518153911217
nominal__job_title_AI Product Manager,0.00019197430852954135
nominal__job_title_Data Engineer (AI),0.00018867422228286557
nominal__job_title_Prompt Engineer,0.0001851960801951765
skills__Kubernetes,0.00018430774658855883
skills__Legal Knowledge,0.00018382854266789638
skills__Storage,0.0001829453988076331
nominal__city_Paris,0.00018222822068509185
nominal__city_London,0.00018207660749229481
nominal__job_title_AI Business Analyst,0.00017785070675403741
skills__GenAI APIs,0.00017359274835047542
skills__NLP,0.0001729190719884718
nominal__country_France,0.0001707665183842213
nominal__country_China,0.00016928467489595028
skills__Image Processing,0.0001668210153128795
skills__Testing,0.0001659180629906717
skills__Transformers,0.00015152432391347292
skills__Risk Analysis,0.00014998148011000098
nominal__country_Canada,0.00014760237945113836
skills__Enterprise Architecture,0.00014657996276130607
skills__Vision-Language Models,0.00014338565993876327
nominal__job_title_AI Security Engineer,0.00014306818960680288
skills__Control Systems,0.00013487587897210464
skills__Stakeholder Mgmt,0.00012577497064744856
skills__Computer Vision,0.00012557591504336573
skills__ROS,0.00012436832001550983
nominal__city_Remote,0.0001231676838527662
nominal__job_title_Multimodal AI Engineer,0.0001227715711561697
skills__System Design,0.00011728039247479716
skills__ML Algorithms,0.00011537122832916538
skills__ML Security,0.00011480988541373149
nominal__job_title_ML Engineer,0.00011469885288165157
skills__Spark,0.00010281827175321493
nominal__job_title_Senior ML Engineer,9.619756660278089e-05
skills__Product Strategy,9.475006786878846e-05
skills__Cybersecurity,9.455056513518772e-05
skills__CNNs,9.234815845643465e-05
nominal__country_Global,8.951479212360623e-05
nominal__city_Dubai,8.79798711291783e-05
skills__RAG,8.785824296971078e-05
skills__Hugging Face,8.695851065932253e-05
skills__Prompt Design,8.352220217619724e-05
nominal__city_Berlin,8.112756135117424e-05
nominal__city_New York,7.528773442643167e-05
skills__Distributed Systems,7.507520494840796e-05
skills__Red Teaming,7.396249370641967e-05
skills__Risk Assessment,7.154826938094038e-05
nominal__country_UAE,6.805421825885006e-05
skills__MLOps,6.71325308990047e-05
nominal__city_Toronto,6.294145071785105e-05
skills__Risk Management,6.257105332352567e-05
skills__Ethics Frameworks,6.0947002946764914e-05
nominal__job_title_AI Infrastructure Eng,5.9489917719650604e-05
nominal__job_title_Data Scientist,5.4365117983842096e-05
nominal__job_title_LLM Engineer,5.318272683847709e-05
skills__Deployment,5.128659623032089e-05
nominal__city_Zurich,4.8466877103763026e-05
nominal__job_title_Computer Vision Engineer,4.349152455970069e-05
skills__OpenCV,3.533900196363454e-05
nominal__job_title_AI Research Scientist,3.3886656185543036e-05
nominal__country_Australia,3.3790185777444304e-05
nominal__country_Switzerland,3.3307276397972596e-05
nominal__job_title_AI Ethics Officer,2.689125672891161e-05
nominal__city_Sydney,2.564523181232287e-05
skills__Simulation,2.2359036767036725e-05
nominal__job_title_Robotics Engineer (AI),2.1789030974388874e-05
skills__ETL,2.0366711426832726e-05
skills__Publishing,1.9787346755506174e-05
skills__Causal Inference,1.036586623272128e-05
skills__LLM Integration,9.247352279545468e-06
skills__Mathematics,7.674163304775515e-06
skills__GPU Computing,7.403912559641123e-06
nominal__job_title_MLOps Engineer,4.2523396248201774e-06
skills__MLflow,2.4301097916274577e-06
skills__Monitoring,1.6178228890015153e-06
skills__CI/CD,1.1133731303272685e-06
